 M_T	HIFFloxFPBS1-C18Neg	HIFFloxFPBS2-C18Neg	HIFFloxFPBS5-C18Neg	HIFFloxFPBS6-C18Neg	HIFFloxFPBS7-C18Neg	HIFFloxFPBS8-C18Neg	HIFmsdFPBS1-C18Neg	HIFmsdFPBS2-C18Neg	HIFmsdFPBS3-C18Neg	HIFmsdFPBS4-C18Neg	HIFmsdFPBS5-C18Neg	HIFmsdFPBS6-C18Neg	HIFFloxMPBS1-C18Neg	HIFFloxMPBS2-C18Neg	HIFFloxMPBS3-C18Neg	HIFFloxMPBS4-C18Neg	HIFFloxMPBS7-C18Neg	HIFFloxMPBS8-C18Neg	HIFmsdMPBS1-C18Neg	HIFmsdMPBS3-C18Neg	HIFmsdMPBS4-C18Neg	HIFmsdMPBS5-C18Neg	HIFmsdMPBS6-C18Neg	HIFmsdMPBS8-C18Neg
313.101110731854_69.8160614607844	0	0	0	0	0	0	0	0	60287.22553	0	0	0	45380.37474	43537.16362	0	45112.11594	0	361825.0263	0	65002.94152	0	0	0	0
450.098319821724_194.998173525351	0	0	0	0	0	0	0	0	0	0	0	882.0336988	0	0	0	0	0	0	0	0	0	0	0	0
422.990847709254_124.582920027868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461.3937733	0	0	0	0	0
681.301829708957_553.997915771102	0	0	0	0	0	0	0	2626.137956	3230.434104	0	0	4917.182965	0	0	0	0	0	0	0	0	0	0	0	0
203.021803023422_41.1507900745409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2046.148303	0	0	0	0	0	0
200.005810932432_46.3649164058681	0	0	0	5465.399704	4663.292068	6325.827298	6063.105664	4375.16296	6112.501145	5618.689025	0	6502.066206	0	4393.907453	3981.766382	0	6631.754165	0	0	1414.578178	6081.795538	8149.7008	5506.569176	3118.965592
187.942982565409_33.580211776757	0	0	0	0	0	0	0	5724.637451	3786.491058	0	0	6403.364806	5607.371945	0	0	0	0	0	10412.19717	0	0	4261.331318	0	0
160.919086802364_574.510802495867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886.0231117
224.980923918262_375.749702718505	2478.487346	0	2408.614305	2717.604129	2846.671246	0	0	0	0	0	0	0	2708.512873	0	0	0	2687.687707	2724.676506	0	2853.570905	0	0	0	0
59.9846809569872_759.874907801246	146052104.1	186714668.8	156123962.9	485620431.8	170669772.6	292111703	155595935.9	371645969.6	223157908.5	227674939.5	258252433.7	275640839.2	95699868.53	296116237.8	147286957.9	319464546.1	137026039.1	296655595.4	239842859.8	236671872.2	151423862.9	262193938.4	175422556	198780842.5
