 M_T	HIFFloxFPBS1-C18Neg	HIFFloxFPBS2-C18Neg	HIFFloxFPBS5-C18Neg	HIFFloxFPBS6-C18Neg	HIFFloxFPBS7-C18Neg	HIFFloxFPBS8-C18Neg	HIFmsdFPBS1-C18Neg	HIFmsdFPBS2-C18Neg	HIFmsdFPBS3-C18Neg	HIFmsdFPBS4-C18Neg	HIFmsdFPBS5-C18Neg	HIFmsdFPBS6-C18Neg	HIFFloxMPBS1-C18Neg	HIFFloxMPBS2-C18Neg	HIFFloxMPBS3-C18Neg	HIFFloxMPBS4-C18Neg	HIFFloxMPBS7-C18Neg	HIFFloxMPBS8-C18Neg	HIFmsdMPBS1-C18Neg	HIFmsdMPBS3-C18Neg	HIFmsdMPBS4-C18Neg	HIFmsdMPBS5-C18Neg	HIFmsdMPBS6-C18Neg	HIFmsdMPBS8-C18Neg
241.012454456574_375.927650267427	124144.6572	157954.4809	116161.714	211736.7709	391767.9688	418295.7706	120355.1399	163722.9785	162886.454	105981.0354	156576.3321	180007.0228	141907.1985	176461.8329	178308.5728	198638.3701	126983.5531	136222.59	244981.1503	194695.8347	132829.9722	132324.4593	101544.6679	139362.3354
294.984755460259_329.131434614582	41957.26239	38245.43696	36382.09158	41418.52625	37028.43772	43209.67869	41477.35039	36915.71109	41951.99629	30582.85635	39911.94251	40906.77941	36239.97421	39927.51515	43079.98365	44272.13999	38362.69491	37633.58828	41747.51835	31830.50078	42856.93499	34707.9301	44512.13755	44918.06138
293.178582781318_466.329216539287	114480.084	80088.30856	93949.33619	94822.11839	93330.36744	87651.3454	90929.83688	106489.4487	121957.3695	92630.26285	108638.593	106841.2613	100525.8314	95579.70578	74496.31237	94706.86213	104396.2203	83993.16763	135904.3888	129423.735	114636.6427	89529.33929	97175.74763	113077.5344
85.0048904272557_603.026794673117	412080.6546	409451.2311	464795.9283	464248.6307	9478.122445	525609.0011	494519.0621	10752.56216	11226.05999	408032.9197	506559.3611	528849.9879	427091.1534	11125.85081	568172.2929	482826.4689	449988.4827	447344.8853	515912.7232	456302.2952	9990.91706	507024.7533	604541.4666	511779.2076
248.998635498479_382.735116033664	23914.45776	21534.11982	22304.3543	23743.61525	22475.00991	24485.66246	28761.2509	25488.24144	28143.85932	26070.51316	26058.0662	23231.67768	25081.98562	27067.66213	21678.81251	26050.80848	25318.4326	29162.58336	28974.08611	24667.20255	24122.03664	21101.35367	23156.98121	24415.59289
249.153463669607_470.203752346488	5913.997663	5039.972324	8489.573804	7090.937541	5615.503574	6220.375722	5875.783873	8800.655687	10600.44696	7098.670537	7360.514524	8237.90186	9692.525691	6362.23789	1345.532537	6751.397821	5625.552906	5181.849866	9199.67804	7820.071719	8782.700537	6331.372219	6226.34784	8317.222811
293.009283605768_355.254622472312	52714.52173	45647.66352	38756.33802	27637.76168	40496.21522	43623.7506	56877.36429	45372.31535	49724.47822	46963.7017	39625.72251	55938.58436	42270.97458	50459.65528	55135.826	44465.27269	41521.70851	32269.09445	31332.55061	54903.95362	51707.66942	54539.0559	46080.18501	27598.14939
147.94102325104_16.0497356925252	13712.96489	15844.52872	14212.43964	17580.16005	7763.493693	16405.08719	17480.89423	15933.78673	14801.93752	6194.862285	14875.41704	18490.54783	13154.60713	6528.525061	14990.97822	15108.24219	13842.87659	8837.754704	7961.061712	14252.65864	6718.2996	14665.2642	14274.80492	22703.19709
325.204962353226_497.905793683217	16618.08426	13025.34215	56440.76063	86279.15239	118189.4832	41280.62911	18557.85697	24977.11044	122707.4714	104222.9903	257422.1003	25201.64682	71214.26975	14154.03773	20661.12689	150583.4523	42881.79041	131267.2362	89237.56721	170425.3764	26025.79043	119964.1393	132058.3627	92474.13308
197.044423285407_182.342434788248	8229.526854	4815.197844	16650.44944	12556.26623	9722.358562	16219.82009	23207.97136	6746.696414	18681.22898	1659.455625	8109.575997	24593.69086	24865.9469	8620.72889	7021.551361	16090.39169	15032.09865	0	21622.1194	7002.387859	14282.34717	22207.06407	22673.1056	11437.10978
326.991253773153_350.831950225666	43733.85583	21605.56601	42588.3293	79766.95138	46532.44272	49891.75905	65175.94401	62964.27675	43962.98412	50792.20995	23859.15657	43961.7999	59041.32528	54566.11923	44864.42668	62300.15963	21221.91683	49682.44261	43300.12869	51155.74854	48278.71998	47105.49138	52454.62837	54243.36103
226.996625944633_204.128085326036	203533.6425	186414.5426	163751.7677	86698.17238	161938.3683	175171.29	190028.044	195053.5806	105517.0463	189985.2396	193561.8634	155238.0807	156644.8667	210434.594	150751.431	187012.1061	149097.5628	232091.7991	175123.5177	181701.3189	196915.3951	177845.3449	185324.3231	126642.3707
244.987453568084_253.301566441664	110102.3888	97568.00492	97407.75011	98565.5416	151346.6146	131443.537	103433.8859	148619.366	60645.01128	85344.07982	137070.9684	121752.7066	91809.43542	114112.6495	97616.98327	177532.7782	128121.0195	136407.2604	159974.9916	145834.3579	173767.4759	138445.0573	99543.47033	82449.23756
76.9876411888397_686.293070116014	4785339.816	3123440.257	3916371.124	3498093.457	3740154.675	4421338.27	3620662.897	4108591.122	3282143.993	2672768.33	3395687.25	3232026.23	3185991.507	4956241.383	3580552.169	4052022.673	3775801.838	3601087.052	2926282.107	3095050.295	2754121.485	2964867.535	3167465.766	3090146.167
261.13663629571_262.069055004827	9846.200854	9456.92114	8705.54697	10462.69688	10378.32531	8883.136777	11189.64701	9216.335297	11731.53929	10680.5696	11447.65656	10641.63094	10254.81743	10701.31988	13186.12433	14026.77196	12222.81245	11445.43315	24582.24565	12479.92752	11354.41189	10769.7208	11606.71663	15647.7084
91.0034624431265_555.840704748558	34043227.03	17501433.34	31761304.22	22327340.08	38623188.2	23047302.37	36455213.57	37798259.84	32893015.64	34324777.21	30631573.7	32408163.23	28554714.72	15252459.61	32065521.92	39999616.46	14011494.32	42401220.75	36177941.19	33467440.92	35159410.55	36422404.38	31156203.18	33716311.02
192.931746268531_15.9897982858188	41415.55611	45632.77608	57478.31351	53815.15782	0	50443.59138	67512.56959	54526.73738	62480.58709	55034.04235	55550.9416	58319.42487	60776.2082	56206.22017	58773.481	60188.76365	65849.93699	59940.9091	60823.48324	59840.61754	58275.51064	63938.10999	70910.09756	0
130.059344629754_182.96338949593	6389.131416	2002.3285	14226.75271	10077.56028	7572.168449	13863.23773	18290.77371	4892.225297	15159.77419	0	3682.052618	18588.15176	20387.70049	6618.330927	3228.57946	12681.47645	12267.16064	0	16889.2914	5320.444994	11862.76779	18143.90364	16938.07185	8942.730467
274.961145102825_37.8937635906812	41283.39068	43981.52876	50800.07645	52336.30414	49003.44624	43302.47685	42353.95309	42486.64936	94119.94649	44640.16609	43099.38053	41650.74298	75891.36886	54264.42605	37108.64028	59091.19283	47023.0546	0	41192.42688	70265.24628	62947.81458	44030.09681	47132.67358	85610.24245
256.987595163766_420.543774546465	64468.69331	62371.5231	54779.31128	68661.54477	59784.2466	69723.65223	69333.97231	72537.53838	72735.2194	55833.36645	63835.42891	74557.4478	67184.37206	75195.83229	68424.37389	74929.81448	68105.35418	71623.22036	75299.92633	66557.85727	71969.38761	66875.39848	69001.54591	73821.30019
60.9924950485372_851.988062615634	3436203.547	3819561.97	3847491.29	4598930.2	2719992.663	3683567.168	3000875.598	3413840.296	3687663.499	2318615.583	2490624.029	2402031.013	3667493.092	3949728.352	3224451.135	3062207.207	3501672.305	2864487.883	3292686.156	2445127.23	2636616.604	2997870.052	3364183.478	3186450.85
182.965169973665_654.657025856318	1637911.495	1763707.33	1483440.795	1015527.139	1788306.692	1275558.112	1589245.973	1632044.077	1409011.99	1700777.532	1794544.252	1851846.593	1459462.783	1597784.268	1884577.784	2031956.865	1636722.536	1386660.897	1423624.389	1573865.306	1447645.354	1304723.586	1536289.528	1646069.678
118.000341596639_846.80711171997	286666.9661	214179.1249	476458.257	345421.0227	329956.0002	292158.1028	222372.0533	227181.8938	281229.4403	256505.9838	276910.6317	244208.9511	342938.1248	424517.4699	273668.6497	367986.5094	338430.4027	296339.5302	264162.9742	291220.8893	250176.7229	301029.2489	303331.5874	273513.5523
262.134827911154_44.9392414860078	36522.86406	33541.99156	0	34777.85361	40126.87905	36191.85742	35237.82799	38550.00362	29441.06578	30477.43559	43741.13696	0	0	23572.89436	28599.08583	27377.54506	30763.9467	17687.61298	30970.57718	29445.16169	33906.69059	30885.22596	34573.08715	35413.5487
240.992455096304_405.681465864423	42288.08826	42732.95056	47600.56154	27781.38674	50813.15204	75582.51616	28163.8033	52700.36624	66705.14647	45227.35597	72573.31791	38577.21641	41559.81027	45916.9143	43447.58671	47782.4145	62970.33302	29119.37672	49572.26083	43978.00132	49316.84783	45942.35677	40294.28774	63616.72029
92.0068224323033_410.919840551235	1102056.896	857299.6386	1021907.374	1110912.73	1244065.658	1218345.51	1019619.304	1031771.924	1227863.925	987573.7481	1164336.33	1405281.721	1041369.199	1545206.135	1188325.225	1291417.046	1148313.937	1352122.429	1323955.05	1248606.499	1439355.728	1252489.724	1248692.086	1054832.823
61.9889551170227_857.122108345111	1832024.038	2167331.177	52067352.01	4262472.608	3183751.209	65837999.31	166945027.2	36428704.62	78702545.37	32487671.76	2037789.391	61190643.56	1791674.265	1981801.896	1486726.421	1910990.411	1975228.351	2400903.591	2504444.968	94486695.23	76700216.62	2137773.439	33330291.78	2268706.123
147.941018944973_32.1895785744006	14953.06583	10894.14684	11671.09823	12811.78726	19977.07755	13657.81536	10334.72241	10080.50275	9450.007539	17599.47018	4985.335688	9478.213296	12184.07831	22842.44044	0	15342.59688	5808.81191	21027.29211	22204.87599	11730.40943	20630.21426	9912.589162	11464.95426	4581.125464
184.962240121948_680.722352880901	647374.5975	782076.4515	651111.54	790122.47	987212.1144	928865.1253	626134.7776	708073.6878	659701.3558	627201.2369	603417.6601	584632.4666	854520.6491	827169.8538	612478.06	852115.0703	740065.8108	837338.1498	792359.6168	770463.6988	614145.9405	667892.9319	737738.6778	704512.3833
217.960409156283_847.559627814644	295587.3827	313900.4678	348877.4084	357406.4851	351874.2831	387737.4486	424887.153	367267.4985	305320.6684	316818.9904	404110.1462	461984.4527	327089.6401	371909.9647	349753.0053	375623.5454	339576.4048	385783.5401	369965.5015	313830.3956	279701.1832	338515.1984	238428.21	342070.4467
182.965169445978_856.417865337783	1692809.709	934198.3267	1498650.13	1340054.961	1316205.933	1712272.373	1769028.365	1833266.622	1336442.237	1310489.617	1433458.67	1159037.311	1621629.282	1887389.301	1556124.126	1244964.84	1812213.965	1441401.159	1621993.514	1320402.37	1276464.838	1479200.874	1523082.089	1499906.108
76.9876426631977_841.111056479997	1161249.483	1710845.384	1836128.368	2071235.277	1656426.412	1265425.354	1365248.042	1340249.296	1582858.793	1642720.596	1123056.387	1370370.772	1502965.275	1244490.13	1789608.475	1606332.326	1260481.893	1777521.843	1442095.544	1270784.735	1247164.331	1104928.031	928383.2537	1315694.323
184.96223939771_828.675917861344	654945.8007	585487.3383	610630.9374	682983.5763	474666.6217	636470.9409	814576.4544	587607.0036	693018.3097	672078.0799	641883.3198	486865.3376	484562.3742	584791.9114	759141.2023	807873.4397	523690.9156	419567.5008	640495.5833	538971.3035	740775.8349	552628.1098	649793.3785	562274.8351
217.960409693638_696.911172938327	470122.5878	438948.1853	484648.0853	545728.6483	437938.941	549675.0198	514219.7762	481767.4449	465272.2733	503376.9234	487616.1301	410104.4059	499458.4891	600897.4331	540677.0908	588029.9603	531583.1989	475337.3964	499038.6643	437019.3476	498074.7055	491816.1243	390639.7621	574710.3686
60.9880518031804_855.128113070363	3194889.761	3606584.118	2572267.382	5049044.603	3409574.941	3735235.613	3808657.396	4522270.123	3522248.114	2877423.503	3061655.375	2923666.379	2865656.815	3633461.726	3964611.548	3202040.081	3004901.215	3163190.899	3672309.297	3067368.884	4156213.701	4241162.112	3547214.386	4229905.567
153.072338517117_661.777557521948	171729.677	205626.6955	149655.0373	166742.8975	138450.1259	163215.3847	157301.307	110458.7445	122626.4119	105345.4898	131044.3911	149864.4416	150376.7809	162680.6	109966.2626	133738.3801	114442.7896	128170.0578	155798.1895	0	139126.7033	85621.87138	0	101920.6067
147.979410096172_851.388397461231	181795.6365	176787.7447	0	135914.4829	137002.5821	163177.3153	84517.40038	158590.457	128886.8507	159926.848	141226.4839	186920.913	133969.4199	159517.4164	99523.56362	171974.4349	146606.7683	167103.2539	160271.474	114484.412	243580.6623	119458.3544	114897.5172	159493.5663
215.963338342869_881.682331908729	343927.9139	357839.5296	600288.974	480656.8884	317764.0203	540839.6532	245375.048	418570.3124	402967.4002	369073.6757	552035.0597	434274.6903	504906.6743	495912.8428	325189.8372	522958.8076	319538.3213	324468.4802	293061.1786	435881.261	275416.8281	434511.9624	395374.7627	335440.6586
118.00034152683_716.173401314808	312078.6436	129519.9237	151056.6612	331823.9725	198073.2514	369687.4496	223704.5925	203836.865	306234.5652	162627.7683	387671.335	190865.2854	269745.0244	308072.5055	129532.9367	276397.3868	260298.5407	341218.868	271644.7901	222343.5595	182728.4359	249600.0731	245920.5748	206027.9394
60.9924976538643_651.76063256019	4395023.117	4631640.109	3450482.82	3422306.347	4027271.56	3727324.1	4432362.33	5251006.255	4554080.156	4560318.456	3080978.151	3874712.306	3812825.327	3962714.698	4381448.199	6233485.391	4110444.576	4431455.315	4824247.981	4916096.309	4497462.306	4984587.918	4125445.291	5067215.949
92.0068359842811_552.222803726762	900521.6353	739703.6346	643904.857	688943.2127	762165.0107	837347.9917	1010076.463	925214.3383	838325.4451	787858.3115	629588.8254	624036.2189	580299.8752	871902.4033	808475.4044	795926.9299	597191.5917	755912.0734	1240507.185	674530.9924	729049.5881	553820.4693	741095.7428	801791.8125
528.311258773661_513.843438118196	14879.87468	11285.94623	8194.370717	11161.37964	7692.67261	10363.2194	5652.727377	9454.007141	16249.28237	5908.722964	8522.712666	17173.90722	8219.985387	14857.64945	6826.393773	14339.15348	7428.413633	5791.676931	4978.4124	8717.971611	10870.65182	9190.249681	16627.83779	8803.937185
70.945613598079_848.288616233271	193679.2244	236962.7925	212048.7295	192689.8713	184196.4691	216087.9172	248373.3347	238181.0374	219358.3499	108520.4394	261970.5705	238858.1668	212570.8758	221732.3306	191723.3466	112998.4025	161576.6404	241722.7789	243676.3251	188367.1238	187473.6034	170560.9301	204632.2186	246937.9267
91.0034599862894_263.56919435091	46711326.8	41020272.47	59698606.78	52715287.56	54910564.77	40172857.64	73986122.89	72976822.26	32663428.44	45031969.14	58730296.82	44704204.33	45718535.25	52453792.52	46776143.44	62737084.63	45040941.15	41140116	46163568.64	52638712.43	29492370.71	54409024.27	52152125.69	39944640.13
129.055960626394_183.050773471802	118050.4821	70890.13228	251210.6643	182612.6668	79947.32098	245690.7295	323839.543	91212.19325	266968.5391	39186.93894	117963.6297	335959.2842	349733.8078	123519.1813	105485.6894	222237.347	215265.4674	18851.18262	301737.2363	94944.50329	203035.5601	310869.1304	308855.4381	170131.0218
356.982099950391_472.474785117242	26230.13616	22469.87027	28626.82556	25667.57528	31838.64141	25381.31505	27318.91294	25399.50208	29082.73385	20349.50522	30985.28572	29260.60188	23066.60249	28374.52314	27542.02659	28112.40573	30788.11394	24804.76939	26036.36495	27359.10436	18887.07812	25131.62435	25588.40277	32487.42955
145.052462722529_578.178324635034	588382.4923	61691.02709	4022970.062	1520438.373	6501370.219	5395526.86	6473217.367	1529532.076	250656.0788	3551794.687	12053.71341	75376.44177	1125875.775	534693.1362	4414136.002	725149.1601	1583534.704	2576809.073	826710.0723	2739309.853	1230264.466	144568.5754	231104.393	5191913.919
61.9889551271639_755.222549949003	153266796.8	1281538.458	26995489.27	1149413.07	142509169.3	27631173.39	49056761.26	2034282.645	1912126.139	35872129.84	1688030.347	62381786.72	303164520	2117997.505	3336365.815	38133284.83	24016883.72	2042335.642	37668136.62	2254350.003	41928083.93	37398542.11	2334091.154	119198371.8
137.00347580024_712.770206325805	295931.8305	283904.5339	365955.903	459519.2912	374320.004	515733.5677	472079.9386	337724.6258	305337.9932	294497.9714	395685.1139	467793.9866	415759.3501	378062.1376	381389.0468	356954.0364	321134.6363	385351.4211	443233.3551	0	303160.6919	290849.208	402413.7646	358449.0249
72.9426832168778_721.995888179252	115222.3716	135864.6182	177785.4033	166254.1966	149804.1863	122946.0866	195669.7558	221982.7795	228434.6238	170205.8793	81253.87042	166045.8998	100659.8839	152524.3716	201274.927	200164.4291	153597.5087	157076.1726	158713.3563	0	152095.327	157952.3781	165038.0787	167782.9208
183.973005814559_830.10443347634	499663.8111	418926.3662	440894.381	470605.312	352821.6858	514594.6059	493125.4475	514652.6134	353510.7829	448113.0936	488886.5141	521231.2085	436483.1184	429107.1507	583771.6865	530200.7752	453905.4854	539271.7824	511785.4692	479847.1284	518920.2241	508733.7004	676599.986	489497.4307
341.006872307672_362.892900379188	0	100355.5997	142974.8226	86384.50923	86019.27673	81931.4461	97867.29667	122025.1946	85207.1961	85624.83729	150890.7503	139817.0701	86639.30836	124559.3274	151899.6721	118851.1713	110891.4086	104478.1106	112164.2928	50696.5011	97213.00033	156907.7689	91384.04652	120700.5864
500.282518843139_489.54768776712	92000.57579	126257.6783	105699.0929	126039.8069	92237.11249	188205.3819	72174.36644	76464.06498	113375.1369	103096.203	111837.5138	110527.7731	130310.9306	109857.3792	81072.90664	85556.49322	72845.79321	129619.485	81790.45542	97498.37499	99722.86593	80296.04888	71443.80261	125113.979
61.9889550801823_657.18023484867	2562145.129	122291746.4	2616994.841	75952079	55819150.76	120438909.7	2107433.466	71648355.95	1833659.036	160349554.6	2308571.387	124861110.7	135862179.4	42976215.37	1521019.42	33457597.24	109011435.8	2160600.382	127368769.7	69806383.57	92891198.05	2021182.082	2210073.518	1524327.157
131.071654934765_208.183879192507	18869.21949	0	17609.94801	6437.755035	6145.917189	12075.59801	9977.451877	13169.95272	14497.04611	20504.60957	5608.240595	29926.06478	10344.66618	8258.015187	11517.78629	9012.810722	9721.678521	206060.2167	28592.55393	10789.3775	11043.21966	11375.80981	13954.99741	19362.17184
343.006359439162_421.366793513369	36926.91379	13346.53302	19230.64121	14424.83581	11107.46724	30087.53524	22178.35773	33465.02029	14981.86477	24012.78646	20747.16678	30775.65855	22285.02998	11010.61439	13417.87909	23987.35075	30884.96934	10696.99212	29137.12545	27166.8498	25792.32794	30570.39502	27593.60075	18534.18937
91.003452143831_375.855416759954	30991395.41	44542290.77	44662853.13	52041313.51	34831208.93	39883141.27	13507301.19	38107169.27	50724807	39802483.27	52621441.45	33874022.86	42898574	49577009.74	49124807.03	24703420.84	31446569.43	34090985.44	67489696.39	53781078.71	49955709.01	49748675.65	37643184.2	45547857.01
291.009929276508_384.973410429429	139922.1425	119576.482	135169.7316	124022.3699	133357.117	127616.5342	140045.7746	153824.5079	130345.9808	118899.3487	130264.7801	121074.0589	118700.3515	190608.9832	123585.6301	174052.2	117301.9444	168083.2149	0	162531.7256	173663.4213	125778.29	164907.6983	102299.527
117.055802156321_148.116923160527	19129.83359	15911.48434	44092.76976	27353.23237	24001.90034	19778.0064	88749.31093	33060.2218	36098.83181	30846.63561	22450.86876	101871.9756	96534.27295	61688.72886	31467.85502	61486.03467	69444.76414	196578.8807	97998.85455	66726.70121	66328.11353	97075.51136	19062.63534	104563.2808
287.095384618263_132.711871263746	12750.66281	10108.55384	33784.56566	18545.71328	11748.7882	12779.70109	15219.45115	19110.05726	26073.55735	12626.87174	14646.72293	16273.40712	17453.81347	10477.82615	6029.285829	8622.276376	8031.669259	12103.86155	17665.73719	9890.870776	7419.910711	12059.58827	6719.651213	11542.47293
144.923932260037_506.327479167412	10365270.38	4073693.492	6742835.526	5488583.309	6512807.084	5256513.341	6409331.049	10301295.36	9103630.934	6826127.132	9486815.171	7059391.458	5392550.588	5729015.634	5017633.302	6158363.614	10207908.04	6921016.119	7987469.888	7147693.415	4819098.222	4846568.901	6445165.017	7068188.51
116.996973900561_735.022758415331	21236270.06	21839192.04	14410377.51	25457809.27	16372733.06	17976792.29	18203316.92	19171221.3	29269791.68	17899092.34	21506421.23	15119607.53	16547893.18	24289134.44	18800340.05	14331666.28	18969062.33	19363883.83	20245807.32	17978292.68	25237576.93	20585177	17179999.38	17717029.63
273.019209681839_393.995320534837	68269.53417	101136.5498	64977.66141	64500.46299	113545.5376	0	95524.82717	78615.01627	131603.8004	103594.9062	121354.2208	127597.6826	94383.80042	92573.51081	144513.1752	79085.80429	128186.1681	124581.4957	89709.56489	103335.406	145020.2451	60085.599	73781.20393	89627.55593
86.0006689441725_662.973440802512	190582.5599	147287.6941	170684.9197	194405.4449	172284.0685	181530.7799	132603.2309	201723.13	136689.2334	155285.3113	244496.2548	169824.7137	128637.2217	192050.6836	0	212710.0814	209348.773	158642.9792	114766.8247	114968.0811	154628.3957	134582.572	178040.8846	146785.259
262.99451979851_346.01548806848	30281.3442	21996.46426	25555.46174	18547.58912	16471.05848	24146.62571	17173.6596	26342.75682	29002.43273	15615.67394	32702.61003	24071.57684	14441.34507	28117.07994	23929.69682	27794.45341	23971.27863	25205.46856	31461.28249	29821.2687	16027.98716	26156.05632	26121.60929	26625.98485
96.9694902480873_184.127410982909	890393.751	798351.4227	1838352.3	2218698.573	1072834.968	787020.9846	1049797.61	1093456.7	923864.7411	912077.3512	1813581.841	2329619.254	1635279.457	1141522.659	916951.8666	1095522.953	993148.4565	509292.5788	1150657.505	1041435.174	1312643.614	766663.5501	1040995.345	1067366.206
254.082384120036_132.40755784638	5297.379487	3997.756691	7828.994535	5655.492649	4903.111423	4660.530721	5640.096589	6566.332267	6572.430213	3569.180861	5142.612077	4924.863021	4042.481508	1966.245493	0	2223.856793	3078.848681	1546.052545	5288.655075	3139.840257	1189.576622	3622.815195	2044.548504	4755.773151
103.039990047917_75.2372474186212	221299.5564	31115.84231	356788.9589	299721.6657	53424.33208	181305.011	16489.59205	63108.88077	20464.96519	64827.88434	283507.1038	16257.9492	326062.3461	55945.63436	11758.84564	92467.41416	26079.82572	4290.8729	21895.82864	70733.45041	26652.53991	61012.13189	34571.25899	35843.81386
564.335489319215_492.488402410253	59867.21776	44699.69894	84223.37976	53458.57196	41462.0646	43643.63266	36941.56457	92998.73422	133519.6997	40777.05131	64877.8106	83601.56051	93083.31467	62130.16971	29294.12657	49182.91172	47383.08237	15325.5782	86915.92831	75581.8176	72443.55436	42470.15671	50558.25883	108138.6214
232.975727950287_58.7742516231517	25047.85085	24680.00138	20042.45402	15330.31118	17399.97215	32041.68202	20087.97087	17882.33746	14670.3686	18836.58388	22102.25456	20524.29728	19055.9488	27636.95309	19167.24076	19244.02063	26031.59817	0	16148.55081	15148.92704	24767.88637	20479.3193	28427.44622	20114.21494
183.973006095649_675.757941660368	377862.124	440486.4126	431336.9363	401704.5163	353591.9887	437434.6917	469280.0793	409034.4743	301898.7481	425519.4296	340038.2605	364626.4525	264973.9128	445709.1651	382760.8338	411817.0607	344954.3516	365597.1253	418357.3415	417416.8779	459170.6963	320449.4635	264877.9041	349007.0343
566.344390921816_511.433026455987	2462.490526	1638.492667	8366.011566	2057.53352	1535.471467	1349.66295	0	3678.21982	16300.1374	1491.456101	2922.148977	17272.22795	7617.835565	2483.144557	0	1219.104255	1742.609127	3209.235997	3604.470087	4339.567593	3156.918748	1595.573783	2127.98461	4869.797454
70.9456143140312_673.790949494653	178250.8878	188178.8117	171128.2687	188294.303	201031.0866	246321.9986	269027.7722	228251.0018	214050.399	170744.6808	189696.571	203332.8609	198156.8447	213675.7785	155971.9852	212039.3073	166602.3457	147273.2808	242634.0847	261416.9041	245227.1474	229715.168	175184.276	180830.8551
476.282245427878_490.499985880804	56311.25918	37277.41689	36843.78376	42015.88271	36395.46105	36472.13551	37409.44294	63249.97008	40141.46537	28522.62695	48182.65702	47722.51827	34157.35113	63068.26388	36328.68524	32753.3971	31486.45847	31490.08467	52673.95302	28984.73768	28518.63942	27253.72224	43195.14815	47748.11501
264.013760011463_65.7559699278357	3875.729859	993.171453	3600.288984	3734.194213	3185.672216	1446.686677	1966.468143	4045.975672	5061.453136	2469.532335	5523.650221	4702.612539	5678.576355	3570.826983	1088.833088	4110.741571	2788.851023	2791.197717	7737.024819	7867.103764	4586.457929	4037.127083	3361.179832	6206.417545
325.015709972612_383.037310366956	0	0	23491.90721	0	23540.56505	21377.75506	19491.88532	0	22245.58518	22549.00554	0	22437.77311	22954.23587	0	14381.31185	24706.95131	0	16963.95605	14143.18612	0	13308.63947	23732.01176	22797.28256	0
613.153866542405_67.2307669379037	8666.753038	17852.97186	40538.0532	12005.29472	5678.383434	4939.340133	32945.65984	9946.65111	33502.98736	8412.603998	8637.855018	8547.58543	13270.09693	5686.26061	16152.06707	27033.72741	8754.627573	59110.05902	13314.55013	13187.14277	6283.192761	10916.54778	17620.48812	34695.5033
131.98515176261_37.7723728465674	4439.211273	4342.217246	5307.832681	5440.189186	4913.632232	4567.412467	4982.30663	4619.67401	6580.289925	4678.008091	4641.132009	4599.508951	7105.935777	5804.81101	4213.45832	5365.218222	4872.968372	4327.200287	5025.293239	6688.646117	5321.40166	4764.828553	4861.186714	7052.772722
100.933518167721_418.134724014216	593501.7134	712037.0777	499480.5919	976700.1549	748073.0631	1012683.581	818483.8827	838850.1086	593792.7558	719314.2327	809916.3511	955226.0994	899765.0539	887827.4222	883162.2177	796129.3825	795175.6944	868146.3873	976028.3769	825561.2991	833467.2471	838943.7678	862333.3837	998427.9185
259.015853899333_183.365195914416	614.2395981	0	3040.022638	2019.074845	1569.478242	3253.661899	4677.934097	1008.723064	3642.505122	0	1224.605012	0	2906.717522	549.5270048	718.2715503	2881.452364	3070.289505	0	3996.096879	527.8967345	2504.289667	4127.056108	4322.62755	1917.799331
84.0088111342398_559.859964315231	1540798.211	3002796.825	2522289.09	2206444.801	2099988.843	3710942.31	2963409.834	2970400.566	1550297.586	2011586.224	2416318.052	417284.2796	2834677.835	1584793.363	1881284.233	2468684.586	1315908.413	2994679.408	3482923.827	2038996.411	3165054.496	2269236.453	3146908.966	2157504.267
116.921017864269_419.836472198973	888356.9297	959471.9416	1101468.114	1164947.924	1424721.356	874550.4873	1336316.128	1366655.266	1285441.713	1195990.134	1596538.191	1202001.356	708103.8455	890259.3199	1091080.812	1164063.747	1187446.373	909887.9562	1368418.469	1322556.325	1654068.087	956920.5752	1274893.57	1179773.277
276.994018601269_384.54390491706	152524.3226	152973.4984	189498.7654	220612.7704	183513.4291	127056.4273	0	178316.3463	348168.7513	139845.9021	194161.4518	183133.253	193758.712	230933.7836	243908.8355	233545.4013	182130.4565	237021.8593	212098.0855	182095.2281	234968.7246	188169.6839	92505.88459	126699.0714
145.924247075376_555.359648744019	366792.0063	304527.7442	150037.7352	467821.2105	373048.875	401614.1693	242849.4382	323999.0293	350400.8788	162893.9015	386361.316	530568.4446	377517.9216	361040.6788	173434.589	136627.2611	193888.9096	356658.7216	455602.3233	101198.2227	422778.4979	144695.0988	73159.73448	47248.45378
84.0087824327789_601.916911397034	3730890.175	4042638.065	3669658.032	5194183.727	3774192.276	4063361.987	5430662.535	4565864.459	4928539.462	3616604.346	4421363.191	4162582.257	3771876.705	5229598.453	4651499.323	4583513.239	5186013.464	4025408.382	4248283.081	4715920.122	4435783.481	3989561.629	4300149.95	5052145.015
588.335817890804_498.144180772486	18684.64103	14613.17484	33145.67549	15609.77336	15592.34759	20762.09658	11389.24834	30720.56313	40308.06441	13741.706	11609.95334	27188.55538	19332.24232	11449.61608	5432.593954	8309.019759	11213.84031	11669.33914	24061.3262	16266.12057	24182.24465	19835.79616	14309.36369	24235.74793
98.0008100807642_665.964848006406	240266.0067	258264.769	270275.6496	286425.1778	263238.0052	254559.5423	197166.5732	264103.9349	316415.4936	213907.8027	185224.0366	192930.7298	257499.4159	284117.5176	240392.2686	314503.8187	248659.2812	174960.4296	311274.074	397734.699	179370.3079	245562.1254	0	305269.9257
